Speed(m/s);Position(m);Time(ms);Time(Instant);Section;Km;Meter;XPosition;YPosition
0.0;2314.8439912566837;1783885627000;2026-07-12T19:47:07Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885627000;2026-07-12T19:47:07Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885627599;2026-07-12T19:47:07.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885628199;2026-07-12T19:47:08.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885628599;2026-07-12T19:47:08.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885629199;2026-07-12T19:47:09.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885629599;2026-07-12T19:47:09.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885630199;2026-07-12T19:47:10.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885630599;2026-07-12T19:47:10.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885631199;2026-07-12T19:47:11.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885631599;2026-07-12T19:47:11.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885631599;2026-07-12T19:47:11.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885632199;2026-07-12T19:47:12.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885632199;2026-07-12T19:47:12.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885632599;2026-07-12T19:47:12.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885632599;2026-07-12T19:47:12.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885633199;2026-07-12T19:47:13.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885633199;2026-07-12T19:47:13.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885633599;2026-07-12T19:47:13.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885633599;2026-07-12T19:47:13.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885634199;2026-07-12T19:47:14.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885634199;2026-07-12T19:47:14.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885634599;2026-07-12T19:47:14.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885634599;2026-07-12T19:47:14.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885635199;2026-07-12T19:47:15.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885635199;2026-07-12T19:47:15.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885635599;2026-07-12T19:47:15.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885635599;2026-07-12T19:47:15.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885636199;2026-07-12T19:47:16.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885636199;2026-07-12T19:47:16.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885636599;2026-07-12T19:47:16.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885636599;2026-07-12T19:47:16.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885637199;2026-07-12T19:47:17.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885637199;2026-07-12T19:47:17.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885637599;2026-07-12T19:47:17.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885637599;2026-07-12T19:47:17.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885638199;2026-07-12T19:47:18.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783885638199;2026-07-12T19:47:18.199Z;1;1;314;-1.0;-1.0
