Speed(m/s);Position(m);Time(ms);Time(Instant);Section;Km;Meter;XPosition;YPosition
0.0;2314.8439912566837;1783799228000;2026-07-11T19:47:08Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799228000;2026-07-11T19:47:08Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799228599;2026-07-11T19:47:08.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799229000;2026-07-11T19:47:09Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799229599;2026-07-11T19:47:09.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799229999;2026-07-11T19:47:09.999Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799230599;2026-07-11T19:47:10.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799230999;2026-07-11T19:47:10.999Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799231599;2026-07-11T19:47:11.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799232199;2026-07-11T19:47:12.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799232599;2026-07-11T19:47:12.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799233199;2026-07-11T19:47:13.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799233599;2026-07-11T19:47:13.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799233599;2026-07-11T19:47:13.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799234199;2026-07-11T19:47:14.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799234199;2026-07-11T19:47:14.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799234599;2026-07-11T19:47:14.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799234599;2026-07-11T19:47:14.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799235199;2026-07-11T19:47:15.199Z;1;1;314;-1.0;-1.0
